"","player","team","type","MW","nation","position","age","born","starts","starts_graded","subs","subs_graded","benchs","mins","mins_mean","nineties","grade_mean","tG","tGA","npG","npxG","npG_perf","npG_perf_rel","p_att","pG","p_miss","npA","pA","xAG","A_perf","A_perf_rel","npG_A","npG_A_perf","npG_A_perf_rel","npG_p90","npxG_p90","npG_perf_p90","npG_perf_rel_p90","A_p90","xAG_p90","A_perf_p90","A_perf_rel_p90","npG_A_p90","npxG_xAG_p90","npG_A_perf_p90","npG_A_perf_rel_p90","ownG","ylw","ylwred","red","sds","status_pts","grade_pts","npG_pts","pG_pts","npA_pts","pA_pts","ylwred_pts","red_pts","sds_pts","clean_sheet_pts","points","name_fbref","url_fbref"
"462","Scienza","1. FC Heidenheim","Mittelfeld",1.4,"BRA","FW,MF","25",1998,13,13,12,7,6,1154,46,12.8,"3.60",32,61,3,2,1,"1.50",0,0,0,3,0,3.7,-0.7,"0.81",6,0.2,"1.03",0.23,0.16,0.07,"1.44",0.23,0.29,-0.06,"0.79",0.47,0.45,0.02,"1.04",0,1,0,0,1,76,-8,12,0,6,0,0,0,3,0,89,"Léo Scienza","https://fbref.com/en/players/79064bc9/Leo-Scienza"
"463","Seiwald","RB Leipzig","Mittelfeld",2.2,"AUT","MF,DF","23",2001,20,20,10,7,2,2079,69,23.2,"3.74",48,47,0,0.2,-0.2,"0.00",0,0,0,0,0,1.7,-1.7,"0.00",0,-2,"0.00",0,0.01,-0.01,"0.00",0,0.08,-0.08,"0.00",0,0.08,-0.08,"0.00",0,2,0,0,0,100,-26,0,0,0,0,0,0,0,0,74,"Nicolas Seiwald","https://fbref.com/en/players/28c6e925/Nicolas-Seiwald"
"464","Sesko","RB Leipzig","Sturm",5,"SVN","FW,MF","21",2003,30,30,3,1,0,2402,73,26.4,"3.74",50,45,11,8.4,2.6,"1.31",2,2,0,5,0,2.1,2.9,"2.38",16,5.5,"1.52",0.42,0.32,0.1,"1.31",0.19,0.08,0.11,"2.38",0.61,0.4,0.21,"1.52",0,0,1,0,3,126,-30,33,6,10,0,-3,0,9,0,151,"Benjamin Šeško","https://fbref.com/en/players/3260690c/Benjamin-Sesko"
"465","Sieb","1. FSV Mainz 05","Sturm",1.7,"GER","FW,MF","21",2003,5,5,22,7,7,751,28,8.5,"3.88",55,43,2,2.8,-0.8,"0.71",0,0,0,3,0,1.1,0.9,"1.82",4,0.1,"1.03",0.24,0.33,-0.09,"0.73",0.24,0.13,0.11,"1.85",0.47,0.47,0,"1.00",0,2,0,0,0,64,-18,6,0,6,0,0,0,0,0,58,"Armindo Sieb","https://fbref.com/en/players/228c1d94/Armindo-Sieb"
"466","Siersleben","1. FC Heidenheim","Abwehr",1.2,"GER","DF","24",2000,14,14,2,0,18,1185,74,13.1,"3.71",37,64,0,0.6,-0.6,"0.00",0,0,0,0,0,0.5,-0.5,"0.00",0,-1.1,"0.00",0,0.04,-0.04,"0.00",0,0.04,-0.04,"0.00",0,0.08,-0.08,"0.00",0,4,0,0,0,60,-12,0,0,0,0,0,0,0,0,48,"Tim Siersleben","https://fbref.com/en/players/f761c901/Tim-Siersleben"
"467","Silas","VfB Stuttgart",NA,NA,NA,NA,NA,NA,0,0,0,0,1,0,NA,NA,"NaN",1,3,0,NA,NA,"NA",NA,0,NA,0,0,NA,NA,"NA",NA,NA,"NA",NA,NA,NA,"NA",NA,NA,NA,"NA",NA,NA,NA,"NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
"468","Sildillia","SC Freiburg","Abwehr",1.7,"FRA","DF","22",2002,8,8,13,1,8,791,38,8.9,"3.06",43,43,2,0.5,1.5,"4.00",0,0,0,0,0,0.7,-0.7,"0.00",2,0.9,"1.82",0.22,0.05,0.17,"4.40",0,0.07,-0.07,"0.00",0.22,0.13,0.09,"1.69",0,2,0,0,1,58,16,10,0,0,0,0,0,3,0,87,"Kiliann Sildillia","https://fbref.com/en/players/313254a3/Kiliann-Sildillia"
"469","Siljevic","Eintracht Frankfurt",NA,NA,NA,NA,NA,NA,0,0,0,0,1,0,NA,NA,"NaN",1,3,0,NA,NA,"NA",NA,0,NA,0,0,NA,NA,"NA",NA,NA,"NA",NA,NA,NA,"NA",NA,NA,NA,"NA",NA,NA,NA,"NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
"470","Silva","RB Leipzig","Sturm",2.8,"POR","FW,MF","28",1995,0,0,8,2,9,124,16,1.5,"2.75",28,22,0,0.5,-0.5,"0.00",1,1,0,2,0,0.6,1.4,"3.33",2,0.9,"1.82",0,0.36,-0.36,"0.00",1.36,0.38,0.98,"3.58",1.36,0.74,0.62,"1.84",0,0,0,0,0,16,6,0,3,4,0,0,0,0,0,29,"André Silva","https://fbref.com/en/players/3effaa34/Andre-Silva"
"471","Silva","Werder Bremen","Sturm",2.8,"POR","FW","28",1995,4,4,3,2,7,377,54,4.2,"4.17",20,21,0,1,-1,"0.00",2,1,1,0,0,0.4,-0.4,"0.00",0,-1.4,"0.00",0,0.24,-0.24,"0.00",0,0.09,-0.09,"0.00",0,0.33,-0.33,"0.00",0,1,0,0,0,22,-16,0,3,0,0,0,0,0,0,9,"André Silva","https://fbref.com/en/players/3effaa34/Andre-Silva"
