"","player","team","type","MW","nation","position","age","born","starts","starts_graded","subs","subs_graded","benchs","mins","mins_mean","nineties","grade_mean","tG","tGA","npG","npxG","npG_perf","npG_perf_rel","p_att","pG","p_miss","npA","pA","xAG","A_perf","A_perf_rel","npG_A","npG_A_perf","npG_A_perf_rel","npG_p90","npxG_p90","npG_perf_p90","npG_perf_rel_p90","A_p90","xAG_p90","A_perf_p90","A_perf_rel_p90","npG_A_p90","npxG_xAG_p90","npG_A_perf_p90","npG_A_perf_rel_p90","ownG","ylw","ylwred","red","sds","status_pts","grade_pts","npG_pts","pG_pts","npA_pts","pA_pts","ylwred_pts","red_pts","sds_pts","clean_sheet_pts","points","name_fbref","url_fbref"
"543","Voll","FC St. Pauli","Tor",1,"GER","GK","23",2000,1,1,1,0,22,90,45,1,"2.00",19,30,0,0,0,"NaN",0,0,0,1,0,0.1,-0.1,"0.00",0,-0.1,"0.00",0,0,0,"NaN",0,0.1,-0.1,"0.00",0,0.1,-0.1,"0.00",0,1,0,0,1,6,6,0,0,2,0,0,0,3,0,17,"Ben Alexander Voll","https://fbref.com/en/players/ee8ad906/Ben-Alexander-Voll"
"544","Volland","1. FC Union Berlin","Sturm",2,"GER","FW,MF","32",1992,0,0,4,1,9,56,14,0.7,"4.00",13,24,0,0,0,"NaN",0,0,0,0,0,0.1,-0.1,"0.00",0,-0.1,"0.00",0,0,0,"NaN",0,0.08,-0.08,"0.00",0,0.08,-0.08,"0.00",0,1,0,0,0,8,-2,0,0,0,0,0,0,0,0,6,"Kevin Volland","https://fbref.com/en/players/64f69877/Kevin-Volland"
"545","Voufack","RB Leipzig",NA,NA,NA,NA,NA,NA,0,0,0,0,5,0,NA,NA,"NaN",12,10,0,NA,NA,"NA",NA,0,NA,0,0,NA,NA,"NA",NA,NA,"NA",NA,NA,NA,"NA",NA,NA,NA,"NA",NA,NA,NA,"NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
"546","Vranckx","VfL Wolfsburg","Mittelfeld",1.6,"BEL","MF","21",2002,6,6,8,1,7,553,40,6.2,"4.14",31,32,0,0,0,"NaN",0,0,0,0,0,0,0,"NaN",0,0,"NaN",0,0,0,"NaN",0,0.01,-0.01,"0.00",0,0.01,-0.01,"0.00",0,1,0,0,0,40,-18,0,0,0,0,0,0,0,0,22,"Aster Vranckx","https://fbref.com/en/players/f86cd5df/Aster-Vranckx"
"547","Wahi","Eintracht Frankfurt","Sturm",3.3,"FRA","FW,MF","21",2003,1,1,7,1,3,191,24,2.2,"5.00",19,16,0,1.3,-1.3,"0.00",0,0,0,0,0,0.1,-0.1,"0.00",0,-1.4,"0.00",0,0.58,-0.58,"0.00",0,0.04,-0.04,"0.00",0,0.62,-0.62,"0.00",0,1,0,0,0,18,-12,0,0,0,0,0,0,0,0,6,"Elye Wahi","https://fbref.com/en/players/0d7b6576/Elye-Wahi"
"548","Wahl","FC St. Pauli","Abwehr",1.8,"GER","DF","30",1994,33,33,0,0,0,2970,90,33,"3.48",26,38,0,0.9,-0.9,"0.00",0,0,0,0,0,0.5,-0.5,"0.00",0,-1.4,"0.00",0,0.03,-0.03,"0.00",0,0.02,-0.02,"0.00",0,0.04,-0.04,"0.00",0,1,0,0,0,132,2,0,0,0,0,0,0,0,0,134,"Hauke Wahl","https://fbref.com/en/players/f3db5b34/Hauke-Wahl"
"549","Walther","RB Leipzig",NA,NA,NA,NA,NA,NA,0,0,0,0,1,0,NA,NA,"NaN",0,0,0,NA,NA,"NA",NA,0,NA,0,0,NA,NA,"NA",NA,NA,"NA",NA,NA,NA,"NA",NA,NA,NA,"NA",NA,NA,NA,"NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
"550","Wanner","1. FC Heidenheim","Mittelfeld",1.6,"GER","MF,FW","18",2005,20,20,9,4,4,1779,61,19.7,"3.75",34,63,2,2.9,-0.9,"0.69",1,1,0,3,0,1.3,0.7,"1.54",4,-0.0999999999999996,"0.98",0.1,0.15,-0.05,"0.67",0.1,0.06,0.04,"1.67",0.2,0.21,-0.00999999999999998,"0.95",0,2,0,0,0,98,-24,8,4,6,0,0,0,0,0,92,"Paul Wanner","https://fbref.com/en/players/cb64672e/Paul-Wanner"
"551","Weigl","Bor. Mönchengladbach","Mittelfeld",2.2,"GER","MF","28",1995,33,33,0,0,0,2888,88,32,"3.86",51,56,0,0.7,-0.7,"0.00",0,0,0,2,0,1.1,0.9,"1.82",2,0.1,"1.05",0,0.02,-0.02,"0.00",0.06,0.03,0.03,"2.00",0.06,0.06,0,"1.00",0,8,0,0,0,132,-48,0,0,4,0,0,0,0,0,88,"Julian Weigl","https://fbref.com/en/players/346d51d9/Julian-Weigl"
"552","Weiner","Holstein Kiel","Tor",2.4,"GER","GK","25",1999,25,25,0,0,7,2250,90,25,"3.56",47,76,0,0,0,"NaN",0,0,0,0,0,0,0,"NaN",0,0,"NaN",0,0,0,"NaN",0,0,0,"NaN",0,0,0,"NaN",0,4,0,0,0,100,-6,0,0,0,0,0,0,0,4,98,"Timon Weiner","https://fbref.com/en/players/1fb2d1b0/Timon-Weiner"
"553","Weiper","1. FSV Mainz 05","Sturm",1.4,"GER","FW,MF","19",2005,7,7,16,1,6,694,30,7.8,"3.62",43,34,3,4.1,-1.1,"0.73",0,0,0,2,0,1.9,0.1,"1.05",5,-1,"0.83",0.38,0.52,-0.14,"0.73",0.26,0.25,0.01,"1.04",0.64,0.77,-0.13,"0.83",0,2,0,0,0,60,-4,9,0,4,0,0,0,0,0,69,"Nelson Weiper","https://fbref.com/en/players/231c67ff/Nelson-Weiper"
"554","Weiser","Werder Bremen","Abwehr",3,"GER","DF,MF","30",1994,32,32,0,0,0,2878,90,31.9,"3.38",50,52,5,5.4,-0.4,"0.93",0,0,0,10,0,4.7,4.3,"1.91",14,3.9,"1.39",0.16,0.17,-0.01,"0.94",0.28,0.15,0.13,"1.87",0.44,0.32,0.12,"1.38",0,7,1,0,3,128,16,25,0,20,0,-3,0,9,0,195,"Mitchell Weiser","https://fbref.com/en/players/30c220c3/Mitchell-Weiser"
"555","Weißhaupt","FC St. Pauli","Mittelfeld",1.6,"GER","FW,MF","22",2001,13,13,6,3,0,1167,61,12.9,"3.84",16,22,1,2.1,-1.1,"0.48",0,0,0,1,0,1.8,-1.8,"0.00",1,-2.9,"0.26",0.08,0.16,-0.08,"0.50",0,0.14,-0.14,"0.00",0.08,0.3,-0.22,"0.27",0,0,0,0,0,64,-22,4,0,2,0,0,0,0,0,48,"Noah Weißhaupt","https://fbref.com/en/players/dd676a97/Noah-Weisshaupt"
"556","Weißhaupt","SC Freiburg","Mittelfeld",1.6,"GER","FW","22",2001,0,0,3,1,8,78,26,0.9,"3.50",16,12,0,0,0,"NaN",0,0,0,0,0,0,0,"NaN",0,0,"NaN",0,0.05,-0.05,"0.00",0,0,0,"NaN",0,0.05,-0.05,"0.00",0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,6,"Noah Weißhaupt","https://fbref.com/en/players/dd676a97/Noah-Weisshaupt"
"557","Widmer","1. FSV Mainz 05","Abwehr",1.8,"SUI","DF","31",1993,3,3,24,3,6,482,18,5.6,"3.83",54,42,0,0.3,-0.3,"0.00",0,0,0,1,0,0.4,0.6,"2.50",1,0.3,"1.43",0,0.06,-0.06,"0.00",0.18,0.07,0.11,"2.57",0.18,0.13,0.05,"1.38",0,3,0,0,0,60,-8,0,0,2,0,0,0,0,0,54,"Silvan Widmer","https://fbref.com/en/players/f68b64fc/Silvan-Widmer"
"558","Wimmer","VfL Wolfsburg","Mittelfeld",2,"AUT","MF,FW","23",2001,22,22,7,5,0,1801,62,19.7,"3.46",51,49,3,3.7,-0.7,"0.81",0,0,0,5,0,2.9,1.1,"1.38",7,0.3,"1.04",0.15,0.19,-0.04,"0.79",0.2,0.15,0.05,"1.33",0.36,0.34,0.02,"1.06",0,5,0,1,1,102,4,12,0,10,0,0,-6,3,0,125,"Patrick Wimmer","https://fbref.com/en/players/cb11b429/Patrick-Wimmer"
"559","Wind","VfL Wolfsburg","Sturm",3.8,"DEN","FW,MF","25",1999,21,21,10,4,2,1969,64,21.8,"3.64",55,54,8,4,4,"2.00",2,1,1,3,0,4.2,-1.2,"0.71",11,2.9,"1.36",0.37,0.18,0.19,"2.06",0.14,0.19,-0.05,"0.74",0.5,0.37,0.13,"1.35",0,2,0,0,1,104,-14,24,3,6,0,0,0,3,0,126,"Jonas Wind","https://fbref.com/en/players/2077ae86/Jonas-Wind"
"560","Wirtz","Bayer 04 Leverkusen","Mittelfeld",8.5,"GER","MF,FW","21",2003,25,25,6,5,0,2354,76,26.1,"2.45",64,39,8,6.1,1.9,"1.31",4,2,2,14,0,7,5,"1.71",20,6.9,"1.53",0.31,0.23,0.08,"1.35",0.46,0.27,0.19,"1.70",0.77,0.5,0.27,"1.54",0,3,0,0,5,112,126,32,8,28,0,0,0,15,0,321,"Florian Wirtz","https://fbref.com/en/players/e7fcf289/Florian-Wirtz"
"561","Wittek","VfL Bochum","Abwehr",1.7,"GER","DF","28",1995,32,32,1,0,0,2715,82,30.1,"3.98",30,68,0,1.4,-1.4,"0.00",0,0,0,1,0,4.4,-4.4,"0.00",0,-5.7,"0.00",0,0.04,-0.04,"0.00",0,0.14,-0.14,"0.00",0,0.19,-0.19,"0.00",0,8,0,0,0,130,-62,0,0,2,0,0,0,0,0,70,"Maximilian Wittek","https://fbref.com/en/players/edb2712b/Maximilian-Wittek"
"562","Woltemade","VfB Stuttgart","Sturm",1.8,"GER","FW,MF","22",2002,17,17,11,3,5,1644,59,18,"2.67",60,49,10,8,2,"1.25",3,2,1,2,0,4.6,-2.6,"0.43",12,-0.6,"0.95",0.55,0.44,0.11,"1.25",0.11,0.25,-0.14,"0.44",0.67,0.7,-0.0299999999999999,"0.96",0,3,1,0,3,90,66,30,6,4,0,-3,0,9,0,202,"Nick Woltemade","https://fbref.com/en/players/7ca196eb/Nick-Woltemade"
"563","Wätjen","Borussia Dortmund","Mittelfeld",1.2,"GER","MF","18",2006,0,0,2,0,9,14,7,0.2,"NaN",21,26,0,0,0,"NaN",0,0,0,0,0,0,0,"NaN",0,0,"NaN",0,0,0,"NaN",0,0,0,"NaN",0,0,0,"NaN",0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,"Kjell-Arik Wätjen","https://fbref.com/en/players/0e006cae/Kjell-Arik-Watjen"
"564","X. Schlager","RB Leipzig","Mittelfeld",3,"AUT","MF","26",1997,2,2,2,1,1,180,45,2,"3.50",8,11,0,0.1,-0.1,"0.00",0,0,0,0,0,0.7,-0.7,"0.00",0,-0.8,"0.00",0,0.03,-0.03,"0.00",0,0.35,-0.35,"0.00",0,0.38,-0.38,"0.00",0,1,0,0,0,12,0,0,0,0,0,0,0,0,0,12,"Xaver Schlager","https://fbref.com/en/players/8f056768/Xaver-Schlager"
"565","Xavi","RB Leipzig","Mittelfeld",6.5,"NED","MF","21",2003,25,25,0,0,0,2157,86,23.9,"3.32",39,29,10,5.1,4.9,"1.96",0,0,0,9,0,6.3,-0.3,"0.95",16,4.6,"1.40",0.42,0.21,0.21,"2.00",0.25,0.26,-0.01,"0.96",0.67,0.48,0.19,"1.40",0,5,0,0,2,100,18,40,0,18,0,0,0,6,0,182,"Xavi Simons","https://fbref.com/en/players/da4d670f/Xavi-Simons"
"566","Yan Couto","Borussia Dortmund","Abwehr",3.6,"BRA","DF,FW","22",2002,8,8,13,5,8,885,42,9.9,"4.35",62,46,0,0.3,-0.3,"0.00",0,0,0,0,0,0.9,-0.9,"0.00",0,-1.2,"0.00",0,0.03,-0.03,"0.00",0,0.09,-0.09,"0.00",0,0.12,-0.12,"0.00",0,5,0,0,0,58,-44,0,0,0,0,0,0,0,0,14,"Yan Couto","https://fbref.com/en/players/1944818c/Yan-Couto"
"567","Yanda","FC St. Pauli",NA,NA,NA,NA,NA,NA,0,0,0,0,1,0,NA,NA,"NaN",0,2,0,NA,NA,"NA",NA,0,NA,0,0,NA,NA,"NA",NA,NA,"NA",NA,NA,NA,"NA",NA,NA,NA,"NA",NA,NA,NA,"NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
"568","Yardimci","TSG Hoffenheim","Sturm",1.5,"TUR","FW,MF","22",2002,3,3,5,2,5,312,39,3.5,"4.60",17,23,0,1,-1,"0.00",0,0,0,0,0,0,0,"NaN",0,-1,"0.00",0,0.3,-0.3,"0.00",0,0,0,"NaN",0,0.3,-0.3,"0.00",0,2,0,0,0,22,-22,0,0,0,0,0,0,0,0,0,"Erencan Yardimci","https://fbref.com/en/players/b7481dc0/Erencan-Yardimci"
"569","Zagadou","VfB Stuttgart","Abwehr",2,"FRA","DF,MF","25",1999,0,0,2,0,1,28,14,0.3,"NaN",11,4,0,0,0,"NaN",0,0,0,0,0,0,0,"NaN",0,0,"NaN",0,0,0,"NaN",0,0,0,"NaN",0,0,0,"NaN",0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,4,"Dan-Axel Zagadou","https://fbref.com/en/players/a4effc55/Dan-Axel-Zagadou"
"570","Zec","Holstein Kiel","Abwehr",1.3,"SVN","DF","24",2000,18,18,0,0,0,1546,86,17.1,"3.83",29,40,2,1.2,0.8,"1.67",0,0,0,0,0,0.5,-0.5,"0.00",2,0.2,"1.11",0.12,0.07,0.05,"1.71",0,0.03,-0.03,"0.00",0.12,0.1,0.02,"1.20",0,5,0,0,0,72,-24,10,0,0,0,0,0,0,0,58,"David Zec","https://fbref.com/en/players/050cd03c/David-Zec"
"571","Zentner","1. FSV Mainz 05","Tor",2.8,"GER","GK","29",1994,32,32,0,0,0,2880,90,32,"2.78",50,41,0,0,0,"NaN",0,0,0,0,0,0.3,-0.3,"0.00",0,-0.3,"0.00",0,0,0,"NaN",0,0.01,-0.01,"0.00",0,0.01,-0.01,"0.00",0,3,0,0,3,128,92,0,0,0,0,0,0,9,18,247,"Robin Zentner","https://fbref.com/en/players/5c4bf6ba/Robin-Zentner"
"572","Zesiger","FC Augsburg","Abwehr",1.8,"SUI","DF","26",1998,15,15,0,0,0,1257,84,13.6,"3.23",13,15,0,1.2,-1.2,"0.00",0,0,0,2,0,1.3,0.7,"1.54",2,-0.5,"0.80",0,0.09,-0.09,"0.00",0.15,0.09,0.06,"1.67",0.15,0.18,-0.03,"0.83",0,5,1,0,1,60,16,0,0,4,0,-3,0,3,0,80,"Cedric Zesiger","https://fbref.com/en/players/2bab583c/Cedric-Zesiger"
"573","Zesiger","VfL Wolfsburg","Abwehr",1.8,"SUI","DF","26",1998,5,5,2,1,9,520,74,5.8,"4.25",33,28,0,0.1,-0.1,"0.00",0,0,0,0,0,0,0,"NaN",0,-0.1,"0.00",0,0.01,-0.01,"0.00",0,0,0,"NaN",0,0.01,-0.01,"0.00",0,4,0,0,0,24,-18,0,0,0,0,0,0,0,0,6,"Cedric Zesiger","https://fbref.com/en/players/2bab583c/Cedric-Zesiger"
"574","Zetterer","Werder Bremen","Tor",3.2,"GER","GK","29",1995,34,34,0,0,0,3060,90,34,"3.28",54,57,0,0,0,"NaN",0,0,0,0,0,0,0,"NaN",0,0,"NaN",0,0,0,"NaN",0,0,0,"NaN",0,0,0,"NaN",0,2,0,0,0,136,30,0,0,0,0,0,0,0,20,186,"Michael Zetterer","https://fbref.com/en/players/9b688ae1/Michael-Zetterer"
"575","Zingerle","RB Leipzig","Tor",0.5,NA,NA,NA,NA,0,0,0,0,14,0,NA,NA,"NaN",18,23,0,NA,NA,"NA",NA,0,NA,0,0,NA,NA,"NA",NA,NA,"NA",NA,NA,NA,"NA",NA,NA,NA,"NA",NA,NA,NA,"NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
"576","Zivzivadze","1. FC Heidenheim","Sturm",2.3,"GEO","FW","30",1994,10,10,5,2,0,955,64,10.6,"3.58",18,23,2,1.7,0.3,"1.18",0,0,0,3,0,1.5,1.5,"2.00",5,1.8,"1.56",0.19,0.16,0.03,"1.19",0.28,0.14,0.14,"2.00",0.47,0.3,0.17,"1.57",0,0,0,0,1,50,-4,6,0,6,0,0,0,3,0,61,"Budu Zivzivadze","https://fbref.com/en/players/e3a72b89/Budu-Zivzivadze"
"577","da Costa","1. FSV Mainz 05","Abwehr",1.2,"GER","DF","31",1993,25,23,0,0,7,2010,80,22.3,"3.39",50,40,0,0.1,-0.1,"0.00",0,0,0,1,0,0.6,0.4,"1.67",1,0.3,"1.43",0,0,0,"NaN",0.04,0.03,0.01,"1.33",0.04,0.03,0.01,"1.33",0,0,0,0,0,100,10,0,0,2,0,0,0,0,0,112,"Danny da Costa","https://fbref.com/en/players/5ddb8f9f/Danny-da-Costa"
"578","Östigaard","TSG Hoffenheim","Abwehr",2.2,"NOR","DF","24",1999,11,11,0,0,0,990,90,10.3,"3.59",15,24,0,0.3,-0.3,"0.00",0,0,0,0,0,0.1,-0.1,"0.00",0,-0.4,"0.00",0,0.03,-0.03,"0.00",0,0.01,-0.01,"0.00",0,0.04,-0.04,"0.00",1,0,0,1,1,44,-4,0,0,0,0,0,-6,3,0,37,"Leo Skiri Østigård","https://fbref.com/en/players/b35a7399/Leo-Skiri-Ostigard"
"579","Özcan","Borussia Dortmund","Mittelfeld",1.8,"TUR","MF","26",1998,3,3,8,2,4,385,35,4.3,"3.70",37,18,0,0.3,-0.3,"0.00",0,0,0,0,0,0.4,-0.4,"0.00",0,-0.7,"0.00",0,0.08,-0.08,"0.00",0,0.09,-0.09,"0.00",0,0.17,-0.17,"0.00",0,0,0,0,0,28,-4,0,0,0,0,0,0,0,0,24,"Salih Özcan","https://fbref.com/en/players/15413fa5/Salih-Ozcan"
"580","Özcan","VfL Wolfsburg","Mittelfeld",1.8,"TUR","MF","26",1998,3,3,8,1,7,346,31,3.9,"3.88",40,31,0,0.1,-0.1,"0.00",0,0,0,0,0,0.8,-0.8,"0.00",0,-0.9,"0.00",0,0.03,-0.03,"0.00",0,0.2,-0.2,"0.00",0,0.23,-0.23,"0.00",0,0,0,0,0,28,-6,0,0,0,0,0,0,0,0,22,"Salih Özcan","https://fbref.com/en/players/15413fa5/Salih-Ozcan"
