ID;Vorname;Nachname;Angezeigter Name (kurz);Angezeigter Name;Verein;Position;Marktwert;Punkte;Notendurchschnitt
pl-k00161132;Artem;Stepanov;Stepanov;Artem Stepanov;Bayer 04 Leverkusen;FORWARD;500000;0;0.0
pl-k00161375;Kaan;Inanoglu;Inanoglu;Kaan Inanoglu;Eintracht Frankfurt;FORWARD;999000000;0;0.0
pl-k00161747;Ben;Ostermann;Ostermann;Ben Ostermann;Werder Bremen;MIDFIELDER;999000000;0;0.0
pl-k00161799;Marwin;Schmitz;Schmitz;Marwin Schmitz;FC St. Pauli;MIDFIELDER;500000;0;0.0
pl-k00162249;Juri;Behr;Behr;Juri Behr;FC St. Pauli;GOALKEEPER;999000000;0;0.0
pl-k00162790;Nils;Ramming;Ramming;Nils Ramming;Eintracht Frankfurt;GOALKEEPER;999000000;0;0.0
pl-k00163142;Toralf;Hense;Hense;Toralf Hense;FC St. Pauli;FORWARD;999000000;0;0.0
pl-k00163273;Rinto;Hanashiro;Hanashiro;Rinto Hanashiro;VfB Stuttgart;MIDFIELDER;999000000;0;0.0
pl-k00163733;Dominik;Javorcek;Javorcek;Dominik Javorcek;Holstein Kiel;DEFENDER;1200000;22;4.3
pl-k00164430;Erik;Ahlstrand;Ahlstrand;Erik Ahlstrand;FC St. Pauli;MIDFIELDER;1300000;10;0.0
pl-k00164538;Guido;Della Rovere;Della Rovere;Guido Della Rovere;Bayern München;MIDFIELDER;999000000;0;0.0
pl-k00164883;Magnus;Dalpiaz;Dalpiaz;Magnus Dalpiaz;Bayern München;DEFENDER;999000000;0;0.0
pl-k00164886;Julien;Yanda;Yanda;Julien Yanda;Bayern München;DEFENDER;999000000;0;0.0
pl-k00164970;Jonah;Kusi-Asare;Kusi-Asare;Jonah Kusi-Asare;Bayern München;FORWARD;999000000;2;0.0
pl-k00165469;Bajung;Darboe;Darboe;Bajung Darboe;Bayern München;MIDFIELDER;999000000;0;0.0
pl-k00167084;Mathys;Angely;Angely;Mathys Angely;VfL Wolfsburg;DEFENDER;800000;0;0.0
pl-k00167652;Viggo;Gebel;Gebel;Viggo Gebel;RB Leipzig;MIDFIELDER;800000;2;0.0
pl-k00167908;Jordi;Paulina;Paulina;Jordi Paulina;Borussia Dortmund;FORWARD;999000000;0;0.0
pl-k00168398;Muhamed;Ajruli ;Ajruli ;Muhamed Ajruli ;Holstein Kiel;MIDFIELDER;999000000;0;0.0
pl-k00168654;Sherly;Schulz;S. Schulz;Sherly Schulz;1. FC Union Berlin;GOALKEEPER;999000000;0;0.0
pl-k00168948;Nayrobi;Vargas;Vargas;Nayrobi Vargas;1. FSV Mainz 05;FORWARD;999000000;0;0.0
pl-k00169014;Alejo;Sarco;Sarco;Alejo Sarco;Bayer 04 Leverkusen;FORWARD;700000;0;0.0
pl-k00169052;Isma;Baraze Adam;Baraze Adam;Isma Baraze Adam;FC St. Pauli;FORWARD;999000000;0;0.0
pl-k00169121;Krish;Raweri;Raweri;Krish Raweri;SC Freiburg;FORWARD;999000000;0;0.0
pl-k00169552;Henrie;Müller-Kalthoff;Müller-Kalthoff;Henrie Müller-Kalthoff;Holstein Kiel;GOALKEEPER;999000000;0;0.0
pl-k00170034;Kevin;Founes;Founes;Kevin Founes;SC Freiburg;MIDFIELDER;999000000;0;0.0
pl-k00171826;Taiyu;Yamasaki;Yamasaki;Taiyu Yamasaki;1. FSV Mainz 05;MIDFIELDER;999000000;0;0.0
pl-k00173671;Kevin;Motowilczuk;Motowilczuk;Kevin Motowilczuk;FC Augsburg;FORWARD;999000000;0;0.0
pl-k00174197;Abdoulie;Ceesay;Ceesay;Abdoulie Ceesay;FC St. Pauli;FORWARD;1200000;14;0.0
pl-k00174710;Ivan;Nekic;Nekic;Ivan Nekic;Holstein Kiel;DEFENDER;1000000;-4;5.5
pl-k00174794;Bazoumana;Touré;Touré;Bazoumana Touré;TSG Hoffenheim;MIDFIELDER;1600000;44;3.57
