"","spt","team","status","player","begin","end","grade","location","opponent","tG","tGA","npG","pG","npA","pA","ownG","ylw","ylwred","red","sds","Position","kID","Vorname","Nachname","Name_lang","MW","Punkte","Note","G_coef","status_pts","grade_pts","npG_pts","pG_pts","npA_pts","pA_pts","ylwred_pts","red_pts","sds_pts","clean_sheet_pts","points"
"34",1,"Bayer 04 Leverkusen","sub","Adli",82,90,NA,"away","Bor. Mönchengladbach","3","2",0,0,0,0,0,0,0,0,FALSE,"FORWARD","pl-k00119825","Amine","Adli","Amine Adli",2.6,59,3.58,3,2,NA,0,0,0,0,0,0,0,0,2
"35",1,"Bayer 04 Leverkusen","bench","Kovar",NA,NA,NA,"away","Bor. Mönchengladbach","3","2",0,0,0,0,0,0,0,0,FALSE,"GOALKEEPER","pl-k00118662","Matej","Kovar","Matej Kovar",1,24,3.6,6,0,NA,0,0,0,0,0,0,0,0,0
"36",1,"Bayer 04 Leverkusen","bench","Arthur",NA,NA,NA,"away","Bor. Mönchengladbach","3","2",0,0,0,0,0,0,0,0,FALSE,"DEFENDER","pl-k00144843","Arthur Augusto","de Matos Soares","Arthur",1.6,28,4.28,5,0,NA,0,0,0,0,0,0,0,0,0
"37",1,"Bayer 04 Leverkusen","bench","Belocian",NA,NA,NA,"away","Bor. Mönchengladbach","3","2",0,0,0,0,0,0,0,0,FALSE,"DEFENDER","pl-k00143938","Jeanuel","Belocian","Jeanuel Belocian",1.5,8,4.5,5,0,NA,0,0,0,0,0,0,0,0,0
"38",1,"Bayer 04 Leverkusen","bench","Kossounou",NA,NA,NA,"away","Bor. Mönchengladbach","3","2",0,0,0,0,0,0,0,0,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,3,0,NA,0,0,0,0,0,0,0,0,0
"39",1,"Bayer 04 Leverkusen","bench","Schick",NA,NA,NA,"away","Bor. Mönchengladbach","3","2",0,0,0,0,0,0,0,0,FALSE,"FORWARD","pl-k00085778","Patrik","Schick","Patrik Schick",4,218,3,3,0,NA,0,0,0,0,0,0,0,0,0
"40",1,"Bayer 04 Leverkusen","bench","Tella",NA,NA,NA,"away","Bor. Mönchengladbach","3","2",0,0,0,0,0,0,0,0,FALSE,"FORWARD","pl-k00129118","Nathan","Tella","Nathan Tella",3,76,3.81,3,0,NA,0,0,0,0,0,0,0,0,0
"41",1,"RB Leipzig","start","Gulacsi",0,90,3.5,"home","VfL Bochum","1","0",0,0,0,0,0,0,0,0,FALSE,"GOALKEEPER","pl-k00058548","Peter","Gulacsi","Peter Gulacsi",3.6,262,2.65,6,4,0,0,0,0,0,0,0,0,2,6
"42",1,"RB Leipzig","start","Simakan",0,55,3,"home","VfL Bochum","1","0",0,0,0,0,0,0,0,0,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,3,4,2,0,0,0,0,0,0,0,0,6
"43",1,"RB Leipzig","start","Orban",0,90,4,"home","VfL Bochum","1","0",0,0,0,0,0,0,0,1,FALSE,"DEFENDER","pl-k00069255","Willi","Orban","Willi Orban",3.7,151,3.18,5,4,-2,0,0,0,0,0,-6,0,0,-4
